SampleID,Run,Anatidae,Batrachoseps attenuatus,Bos taurus,Brevoortia,Buteo,Cairina moschata,Canis,Cervus elaphus,Colaptes auratus,Columbidae,Corvus,Didelphis virginiana,Felidae,Felis catus,Gallus gallus,Homo sapiens,Junco hyemalis,Mephitis mephitis,Micropterus,Microtus californicus,Mus musculus,Neotamias,Neurotrichus gibbsii,Odocoileus,Oreochrimini,Oreortyx pictus,Ovis aries,Passer domesticus,Passeriformes,Peromyscus,Procyon lotor,Puma concolor,Rattus norvegicus,Rattus rattus,Salmo salar,Scombridae,Sorex,Spilogale gracilis,Sus scrofa,Sylvilagus bachmani,Thomomys bottae,Trochilidae,Turdus migratorius,Tyto alba,Urocyon cinereoargenteus,Ursus americanus,Zalophus californianus
S20_3671,MiniExp,0,0,0,0,0,0,951,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,78,0,0,250,0,0,0,109,25,0
S20_3672,MiniExp,0,0,0,0,0,0,2666,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,114,0,0
S20_3673,MiniExp,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,760,0,189,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,68,0,0
S20_3674,MiniExp,0,0,0,0,0,0,596,0,0,0,0,0,0,0,34,10,0,0,0,0,0,19,0,0,0,263,0,0,0,9,0,0,0,159,0,0,0,0,0,0,0,0,0,0,139,0,0
S20_3675,MiniExp,0,0,0,0,0,0,3416,0,0,0,0,0,0,0,393,5,0,0,0,0,0,0,0,0,0,94,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,52,0
S20_3676,MiniExp,0,0,0,0,0,0,4003,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
S20_3679,MiniExp,0,0,0,0,0,0,44,0,0,0,0,0,29,236,0,0,0,0,0,119,0,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,100,0
S20_3680,MiniExp,0,0,0,0,0,0,862,0,0,3026,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,248,0,0,0,0,0,9,0,0
S20_3681,MiniExp,0,0,0,0,0,0,2120,0,0,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,41,0
S20_3682,MiniExp,0,0,0,0,0,94,3980,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
S20_3683,MiniExp,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,2098,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
S20_3684,MiniExp,0,0,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2569,0,0,0,0,0,0
S20_3685,MiniExp,0,0,0,0,0,0,317,0,0,0,0,0,9,0,0,14,0,0,0,34,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,10,0,831,0,0,0,89,9,0
S20_3687,MiniExp,0,0,0,0,0,0,930,0,0,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
S20_3688,MiniExp,0,0,0,0,0,0,5,0,0,0,35,0,66,0,0,0,0,0,0,41,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,89,1085,0,225,0,0,0,520,0,0
S20_3689,MiniExp,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,0,0,0,6,0,0,0,0,0,0,0,0,0,0,554,0,0,0,540,254,0
S20_3690,MiniExp,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,740,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,101,0
S20_3691,MiniExp,0,0,0,0,0,0,224,0,345,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,69,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,0,0
S20_3692,MiniExp,0,0,0,0,0,0,959,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,34,0
S20_3693,MiniExp,0,0,0,0,0,0,216,0,0,0,0,22,0,0,1449,0,0,0,0,429,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869,0,0,0,0,0,0
S20_3696,MiniExp,0,0,0,0,0,0,191,0,0,0,0,0,0,0,4396,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,265,0,0,0,0,82,0,648,0,0,0,8,0,0
S20_3697,MiniExp,0,0,0,0,0,0,4439,0,0,0,0,0,0,0,121,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0
S20_3698,MiniExp,0,0,0,0,0,0,3444,0,0,0,0,0,0,0,0,48,0,0,0,0,0,28,0,0,0,74,0,0,0,56,0,0,0,0,0,0,9,0,0,0,0,0,0,0,723,58,0
S20_3699,MiniExp,0,0,0,0,0,0,2677,0,0,0,0,0,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,277,78,0
